affiliationid,normalizedname,displayname,university_normalized,University,Country
1296637509,middle east institute,Middle East Institute,middle east institute,NA,NA
1296745818,central dupage hospital,Central DuPage Hospital,central dupage hospital,NA,NA
1299266404,australian electoral commission,Australian Electoral Commission,australian electoral commission,NA,NA
1305438192,gansu provincial museum,Gansu Provincial Museum,gansu provincial museum,NA,NA
1308126019,national oceanic and atmospheric administration,National Oceanic and Atmospheric Administration,national oceanic and atmospheric administration,NA,NA
1313606977,museum fur naturkunde,Museum für Naturkunde,museum fur naturkunde,NA,NA
1320395740,federal deposit insurance corporation,Federal Deposit Insurance Corporation,federal deposit insurance corporation,NA,NA
1333939285,florida department of health,Florida Department of Health,florida department of health,NA,NA
1339895191,rwi essen,RWI Essen,rwi essen,NA,NA
1341110861,national water supply and drainage board,National Water Supply and Drainage Board,national water supply and drainage board,NA,NA
1343004337,marriott international,Marriott International,marriott international,NA,NA
2799530240,hussian college,Hussian College,hussian college,NA,NA
2799566174,winter haven hospital,Winter Haven Hospital,winter haven hospital,NA,NA
2799654588,korea customs service,Korea Customs Service,korea customs service,NA,NA
2799768472,antelope valley hospital,Antelope Valley Hospital,antelope valley hospital,NA,NA
2800015558,phillips exeter academy,Phillips Exeter Academy,phillips exeter academy,NA,NA
2800182745,government of ethiopia,Government of Ethiopia,government of ethiopia,NA,NA
2800201214,american indian college,American Indian College,american indian college,NA,NA
2800587215,parliament of australia,Parliament of Australia,parliament of australia,NA,NA
2800635117,american institute of steel construction,American Institute of Steel Construction,american institute of steel construction,NA,NA
2800816844,general hospital ernakulam,General Hospital Ernakulam,general hospital ernakulam,NA,NA
2800826735,grand egyptian museum,Grand Egyptian Museum,grand egyptian museum,NA,NA
2800852108,universidad abierta interamericana,Universidad Abierta Interamericana,universidad abierta interamericana,NA,NA
2800854703,maine college of art,Maine College of Art,maine college of art,NA,NA
2801012351,royal agricultural society of england,Royal Agricultural Society of England,royal agricultural society of england,NA,NA
2801034529,royal berkshire hospital,Royal Berkshire Hospital,royal berkshire hospital,NA,NA
2801210938,australian defence college,Australian Defence College,australian defence college,NA,NA
2801549042,westminster seminary california,Westminster Seminary California,westminster seminary california,NA,NA
2801618995,royal edinburgh hospital,Royal Edinburgh Hospital,royal edinburgh hospital,NA,NA
2801637399,new college nottingham,New College Nottingham,new college nottingham,NA,NA
2802211179,mountcrest university college,Mountcrest University College,mountcrest university college,NA,NA
2802245392,research councils uk,Research Councils UK,research councils uk,NA,NA
2802262932,boston foundation,Boston Foundation,boston foundation,NA,NA
2802326217,andries vosloo hospital,Andries Vosloo Hospital,andries vosloo hospital,NA,NA
2802355324,city and islington college,City and Islington College,city and islington college,NA,NA
2802383792,sector skills council for science engineering and manufacturing technologies,"Sector Skills Council for Science, Engineering and Manufacturing Technologies","sector skills council for science, engineering and manufacturing technologies",NA,NA
2802549117,td bank group,TD Bank Group,td bank group,NA,NA
2802616479,accademia di belle arti di bologna,Accademia di Belle Arti di Bologna,accademia di belle arti di bologna,NA,NA
2802640032,foundation center,Foundation Center,foundation center,NA,NA
2802913842,a n nesmeyanov institute of organoelement compounds,A. N. Nesmeyanov Institute of Organoelement Compounds,a. n. nesmeyanov institute of organoelement compounds,NA,NA
2802952180,open data institute,Open Data Institute,open data institute,NA,NA
2902562613,trinity baptist college,Trinity Baptist College,trinity baptist college,NA,NA
2911809869,atlanta film festival,Atlanta Film Festival,atlanta film festival,NA,NA
8778637,national institute of technology srinagar,"National Institute of Technology, Srinagar","national institute of technology, srinagar",NA,NA
17856709,bridgewater state university,Bridgewater State University,bridgewater state university,NA,NA
18860807,wittenberg university,Wittenberg University,wittenberg university,NA,NA
33777917,mountains of the moon university,Mountains of the Moon University,mountains of the moon university,NA,NA
42894916,nicta,NICTA,nicta,NA,NA
43337087,hebei university,Hebei University,hebei university,Hebei University,China
48542333,international center for transitional justice,International Center for Transitional Justice,international center for transitional justice,NA,NA
50141010,canberra institute of technology,Canberra Institute of Technology,canberra institute of technology,NA,NA
56659624,astex,Astex,astex,NA,NA
56673253,vijaya college bangalore,"Vijaya College, Bangalore","vijaya college, bangalore",NA,NA
63371133,chongqing jiaotong university,Chongqing Jiaotong University,chongqing jiaotong university,NA,NA
67372714,toyo tire rubber company,Toyo Tire & Rubber Company,toyo tire & rubber company,NA,NA
74640424,advanced institute of industrial technology,Advanced Institute of Industrial Technology,advanced institute of industrial technology,NA,NA
75514602,ath,ATH,ath,NA,NA
83558840,universidade nova de lisboa,Universidade Nova de Lisboa,universidade nova de lisboa,Universidade Nova de Lisboa,Portugal
90130731,united nations department of economic and social affairs,United Nations Department of Economic and Social Affairs,united nations department of economic and social affairs,NA,NA
95004497,hebei institute of physical education,Hebei Institute of Physical Education,hebei institute of physical education,NA,NA
107639228,university of notre dame,University of Notre Dame,university of notre dame,University of Notre Dame,United States
111325124,athens school of fine arts,Athens School of Fine Arts,athens school of fine arts,NA,NA
111483173,king university,King University,king university,NA,NA
113979818,graceland university,Graceland University,graceland university,NA,NA
116651468,thorn,Thorn,thorn,NA,NA
117337357,naval facilities engineering service center,Naval Facilities Engineering Service Center,naval facilities engineering service center,NA,NA
117499954,eog resources,EOG Resources,eog resources,NA,NA
121112266,nielsen holdings n v,Nielsen Holdings N.V.,nielsen holdings n.v.,NA,NA
123200800,la sierra university,La Sierra University,la sierra university,NA,NA
125565006,bharat petroleum,Bharat Petroleum,bharat petroleum,NA,NA
126007077,picower institute for learning and memory,Picower Institute for Learning and Memory,picower institute for learning and memory,NA,NA
128649747,libera universita maria ss assunta,Libera Università Maria SS. Assunta,libera universita maria ss. assunta,NA,NA
133513517,hedmark university college,Hedmark University College,hedmark university college,NA,NA
138970914,studium biblicum franciscanum,Studium Biblicum Franciscanum,studium biblicum franciscanum,NA,NA
139290212,hofstra university,Hofstra University,hofstra university,NA,NA
147629076,freudenthal institute for science and mathematics education,Freudenthal Institute for Science and Mathematics Education,freudenthal institute for science and mathematics education,NA,NA
157674565,university of liege,University of Liège,university of liege,University of Liège,Belgium
159219196,rajasthan technical university,Rajasthan Technical University,rajasthan technical university,NA,NA
163144531,petro canada,Petro-Canada,petro-canada,NA,NA
165382809,carl zeiss meditec,Carl Zeiss Meditec,carl zeiss meditec,NA,NA
168639165,singapore institute of technology,Singapore Institute of Technology,singapore institute of technology,NA,NA
169137262,draxlmaier group,Dräxlmaier Group,draxlmaier group,NA,NA
170013655,isfahan university of technology,Isfahan University of Technology,isfahan university of technology,Isfahan University of Technology,Iran
177639307,university of dundee,University of Dundee,university of dundee,University of Dundee,United Kingdom
178254495,dayalbagh educational institute,Dayalbagh Educational Institute,dayalbagh educational institute,NA,NA
178644074,kanazawa seiryo university,Kanazawa Seiryo University,kanazawa seiryo university,NA,NA
179630473,icfo the institute of photonic sciences,ICFO – The Institute of Photonic Sciences,icfo - the institute of photonic sciences,NA,NA
190805021,wakayama medical university,Wakayama Medical University,wakayama medical university,NA,NA
192209268,shaoxing university,Shaoxing University,shaoxing university,NA,NA
198811213,national nuclear security administration,National Nuclear Security Administration,national nuclear security administration,NA,NA
199577144,council on social work education,Council on Social Work Education,council on social work education,NA,NA
200267027,universidad juarez del estado de durango,Universidad Juárez del Estado de Durango,universidad juarez del estado de durango,NA,NA
202576934,torrent pharmaceuticals,Torrent Pharmaceuticals,torrent pharmaceuticals,NA,NA
203976313,blue martini software,Blue Martini Software,blue martini software,NA,NA
207766952,caci,CACI,caci,NA,NA
221587171,toyo college of food technology,Toyo College of Food Technology,toyo college of food technology,NA,NA
316825616,lycee henri iv,Lycée Henri-IV,lycee henri-iv,NA,NA
347335806,gujarat vidyapith,Gujarat Vidyapith,gujarat vidyapith,NA,NA
879441112,milliman,Milliman,milliman,NA,NA
883665419,blackburn college,Blackburn College,blackburn college,NA,NA
885480288,ashurst llp,Ashurst LLP,ashurst llp,NA,NA
892155769,intec inc,"Intec, Inc.","intec, inc.",NA,NA
1280882487,dimagi,Dimagi,dimagi,NA,NA
1307440720,amag pharmaceuticals,AMAG Pharmaceuticals,amag pharmaceuticals,NA,NA
1313752989,bungie,Bungie,bungie,NA,NA
1315649409,institute on taxation and economic policy,Institute on Taxation and Economic Policy,institute on taxation and economic policy,NA,NA
1331801260,bluespec inc,"Bluespec, Inc.","bluespec, inc.",NA,NA
1333924165,site santa fe,SITE Santa Fe,site santa fe,NA,NA
1338202479,california energy commission,California Energy Commission,california energy commission,NA,NA
1338678786,center for disease dynamics economics policy,"Center for Disease Dynamics, Economics & Policy","center for disease dynamics, economics & policy",NA,NA
1341461270,archaeological survey of india,Archaeological Survey of India,archaeological survey of india,NA,NA
2239667268,vega aircraft corporation,Vega Aircraft Corporation,vega aircraft corporation,NA,NA
2799324100,technical college of the lowcountry,Technical College of the Lowcountry,technical college of the lowcountry,NA,NA
2799334205,holland hospital,Holland Hospital,holland hospital,NA,NA
2799480299,russian venture company,Russian Venture Company,russian venture company,NA,NA
2799497536,blast theory,Blast Theory,blast theory,NA,NA
2799610202,copenhagen institute of interaction design,Copenhagen Institute of Interaction Design,copenhagen institute of interaction design,NA,NA
2799712144,fairbanks north star borough school district,Fairbanks North Star Borough School District,fairbanks north star borough school district,NA,NA
